Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;22330;"Organizational Research Methods";journal;"15527425, 10944281";"SAGE Publications Inc.";No;No;10,181;Q1;148;43;86;3654;1937;83;30,02;84,98;28,69;0;4;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
2;24721;"Annals of Mathematics";journal;"0003486X";"Department of Mathematics at Princeton University";No;No;8,627;Q1;145;41;94;2079;574;94;5,34;50,71;10,75;0;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3;21100922606;"The Lancet Digital Health";journal;"25897500";"Elsevier Ltd";Yes;No;6,838;Q1;85;137;388;3207;6071;218;15,30;23,41;39,33;0;59;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2025";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
4;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;6,260;Q1;196;85;334;9424;11357;313;33,30;110,87;31,92;2;14;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
5;21307;"Management Science";journal;"00251909, 15265501";"INFORMS Institute for Operations Research and the Management Sciences";Yes;No;5,720;Q1;303;446;1214;28122;8863;1206;6,83;63,05;27,62;55;109;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2025";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
6;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Institute for Operations Research and the Management Sciences";No;No;4,850;Q1;192;102;236;8480;2301;232;7,95;83,14;29,08;1;22;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2024";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
7;13649;"Annals of Statistics";journal;"00905364";"Institute of Mathematical Statistics";No;No;4,769;Q1;202;123;413;6486;2075;412;3,87;52,73;23,79;0;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2024";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
8;19169;"Journal of Operations Management";journal;"18731317, 02726963";"John Wiley &amp; Sons Inc.";No;No;4,520;Q1;228;61;137;5247;1582;122;11,05;86,02;28,66;0;20;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2025";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
9;21789;"Manufacturing and Service Operations Management";journal;"15265498, 15234614";"INFORMS Institute for Operations Research and the Management Sciences";No;No;4,486;Q1;116;107;453;5816;2799;448;5,69;54,36;21,33;0;29;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1999-2025";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
10;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";"Management Information Systems Research Center";No;No;4,486;Q1;283;64;204;5987;2041;203;5,80;93,55;29,32;0;18;United States;Northern America;"Management Information Systems Research Center";"1980-2024";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
