Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100873499;"Nature Sustainability";journal;"23989629";"Nature Publishing Group";Yes;No;7,292;Q1;146;228;596;9608;11969;435;17,96;42,14;34,37;23;173;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
2;19900191605;"Wiley Interdisciplinary Reviews: Climate Change";journal;"17577799, 17577780";"John Wiley &amp; Sons Inc.";No;No;3,803;Q1;127;57;159;7105;2259;156;11,75;124,65;37,97;13;53;United States;Northern America;"John Wiley &amp; Sons Inc.";"2010-2025";"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
3;23406;"Business Strategy and the Environment";journal;"10990836, 09644733";"John Wiley and Sons Ltd";No;No;3,609;Q1;173;474;832;47004;17347;823;19,37;99,16;36,91;11;400;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2025";"Business and International Management (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
4;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";"Elsevier B.V.";No;No;3,480;Q1;204;307;799;21613;11741;794;13,72;70,40;31,49;1;101;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy; Social Sciences"
5;36483;"Global Environmental Change";journal;"09593780, 18729495";"Elsevier Ltd";No;No;3,355;Q1;242;125;415;10768;4711;404;10,68;86,14;41,58;8;111;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)";"Environmental Science; Social Sciences"
6;14813;"Journal of Travel Research";journal;"15526763, 00472875";"SAGE Publications Ltd";No;No;3,100;Q1;181;209;330;19857;4794;319;14,08;95,01;46,17;1;77;United Kingdom;Western Europe;"SAGE Publications Ltd";"1969-2025";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Social Sciences"
7;12442;"Progress in Human Geography";journal;"14770288, 03091325";"SAGE Publications Ltd";No;No;3,087;Q1;187;54;227;6498;2071;223;7,58;120,33;44,21;0;19;United Kingdom;Western Europe;"SAGE Publications Ltd";"1977-2025";"Geography, Planning and Development (Q1)";"Social Sciences"
8;21203;"Long Range Planning";journal;"00246301, 18731872";"Elsevier Ltd";No;No;2,909;Q1;134;53;172;5188;1616;166;7,75;97,89;30,77;1;15;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
9;19700194105;"Sustainable Cities and Society";journal;"22106715, 22106707";"Elsevier B.V.";No;No;2,869;Q1;156;951;2371;66431;32778;2367;13,82;69,85;34,00;7;862;Netherlands;Western Europe;"Elsevier B.V.";"2011-2025";"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
10;14811;"Journal of Sustainable Tourism";journal;"09669582, 17477646";"Taylor and Francis Ltd.";No;No;2,733;Q1;150;207;384;18014;5380;382;13,09;87,02;48,12;13;182;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2025";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Social Sciences"
11;21004;"Environmental Impact Assessment Review";journal;"01959255";"Elsevier Inc.";No;No;2,681;Q1;122;306;678;22177;8464;677;12,55;72,47;40,15;3;277;United States;Northern America;"Elsevier Inc.";"1980-1983, 1985-2025";"Ecology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)";"Environmental Science; Social Sciences"
12;28092;"Economic Geography";journal;"00130095";"Taylor and Francis Ltd.";No;No;2,546;Q1;103;17;60;1383;537;60;9,00;81,35;28,21;2;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972, 1974, 1978-1985, 1987-2024";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
