Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100873499;"Nature Sustainability";journal;"23989629";"Nature Publishing Group";Yes;No;7,292;Q1;146;228;596;9608;11969;435;17,96;42,14;34,37;23;173;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
2;24406;"Journal of Urban Economics";journal;"10959068, 00941190";"Academic Press Inc.";No;No;3,854;Q1;139;66;174;3421;1124;170;5,18;51,83;23,33;15;49;United States;Northern America;"Academic Press Inc.";"1974-2025";"Economics and Econometrics (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
3;19041;"Landscape and Urban Planning";journal;"01692046";"Elsevier B.V.";No;No;2,932;Q1;229;183;639;13658;7330;638;10,48;74,63;43,83;1;165;Netherlands;Western Europe;"Elsevier B.V.";"1986-2025";"Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
4;23269;"Computers, Environment and Urban Systems";journal;"01989715";"Elsevier Ltd";No;No;2,523;Q1;118;99;312;6496;3455;312;9,64;65,62;33,58;1;69;United Kingdom;Western Europe;"Elsevier Ltd";"1980-1986, 1988-2025";"Ecological Modeling (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
5;29684;"Urban Studies";journal;"00420980, 1360063X";"SAGE Publications Ltd";No;No;1,980;Q1;183;225;535;14925;3389;525;5,76;66,33;44,19;11;180;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2025";"Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
6;15139;"Regional Science and Urban Economics";journal;"18792308, 01660462";"Elsevier B.V.";No;No;1,917;Q1;101;60;213;3541;952;210;3,48;59,02;23,58;10;44;Netherlands;Western Europe;"Elsevier B.V.";"1975-2025";"Economics and Econometrics (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
7;14723;"Urban Education";journal;"00420859, 15528340";"SAGE Publications Inc.";No;No;1,882;Q1;76;151;236;10409;881;236;3,89;68,93;66,02;9;56;United States;Northern America;"SAGE Publications Inc.";"1965-2025";"Education (Q1); Urban Studies (Q1)";"Social Sciences"
8;16956;"Cities";journal;"02642751";"Elsevier Ltd";No;No;1,839;Q1;141;759;1376;57691;11736;1369;7,82;76,01;41,08;12;649;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2025";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)";"Business, Management and Accounting; Social Sciences"
9;13760;"Habitat International";journal;"01973975";"Elsevier Ltd";No;No;1,837;Q1;127;167;396;12516;3360;395;7,99;74,95;33,90;1;146;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1976-1980, 1982-2025";"Nature and Landscape Conservation (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
10;16448;"Journal of Urban Health";journal;"10993460, 14682869";"Springer Science and Business Media Deutschland GmbH";No;No;1,653;Q1;114;132;291;5202;1349;264;4,53;39,41;58,88;2;111;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1988, 1998-2025";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Urban Studies (Q1)";"Medicine; Social Sciences"
11;21100220478;"Urban Climate";journal;"22120955";"Elsevier B.V.";No;No;1,563;Q1;88;467;995;32656;7827;993;7,82;69,93;35,60;0;414;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
12;13934;"Journal of the American Planning Association";journal;"01944363";"Taylor and Francis Ltd.";No;No;1,508;Q1;119;80;153;4608;675;124;3,96;57,60;49,44;5;61;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1935-2025";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
13;13854;"Housing Studies";journal;"14661810, 02673037";"Routledge";No;No;1,496;Q1;95;213;257;14687;1402;251;5,09;68,95;54,24;23;189;United Kingdom;Western Europe;"Routledge";"1986-2025";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
14;29655;"Urban Geography";journal;"02723638, 19382847";"Taylor and Francis Ltd.";No;No;1,419;Q1;96;149;303;10102;1432;293;4,29;67,80;45,30;2;117;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
15;13892;"International Journal of Urban and Regional Research";journal;"03091317, 14682427";"Wiley-Blackwell Publishing Ltd";No;No;1,417;Q1;138;59;194;4235;721;192;3,08;71,78;46,15;0;49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2025";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
16;13838;"Housing Policy Debate";journal;"10511482, 2152050X";"Taylor and Francis Ltd.";No;No;1,405;Q1;78;89;204;4806;780;172;3,59;54,00;49,50;11;77;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2008, 2010-2025";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
