Author,Title,Journal,Year,Citations
DENG T et al.,A SYSTEMATIC REVIEW OF A DIGITAL TWIN CITY: A NEW PATTERN OF URBAN ...,JOURNAL OF MANAGEMENT SCIENCE AN...,2021,517
DEMBSKI F et al.,URBAN DIGITAL TWINS FOR SMART CITIES AND CITIZENS: THE CASE STUDY O...,SUSTAINABILITY,2020,358
SCHROTTER G et al.,THE DIGITAL TWIN OF THE CITY OF ZURICH FOR URBAN PLANNING,PFG-JOURNAL OF PHOTOGRAMMETRY RE...,2020,340
ALLAM Z et al.,THE METAVERSE AS A VIRTUAL FORM OF SMART CITIES: OPPORTUNITIES AND ...,SMART CITIES,2022,312
WEIL C et al.,URBAN DIGITAL TWIN CHALLENGES: A SYSTEMATIC REVIEW AND PERSPECTIVES...,SUSTAINABLE CITIES AND SOCIETY,2023,217
KETZLER B et al.,DIGITAL TWINS FOR CITIES: A STATE OF THE ART REVIEW,BUILT ENVIRONMENT,2020,209
RAMU S et al.,FEDERATED LEARNING ENABLED DIGITAL TWINS FOR SMART CITIES: CONCEPTS...,SUSTAINABLE CITIES AND SOCIETY,2022,170
NOCHTA T et al.,A SOCIO-TECHNICAL PERSPECTIVE ON URBAN ANALYTICS: THE CASE OF CITY-...,JOURNAL OF URBAN TECHNOLOGY,2021,156
FERRE-BIGORRA J et al.,THE ADOPTION OF URBAN DIGITAL TWINS,CITIES,2022,150
HAM Y et al.,PARTICIPATORY SENSING AND DIGITAL TWIN CITY: UPDATING VIRTUAL CITY ...,JOURNAL OF MANAGEMENT IN ENGINEE...,2020,141
